Departement,Commune,Prod_moyenne_GWh,Annee
77,CHAUMES-EN-BRIE,12,2013
77,SOURDUN,12.8,2014
77,USSY-SUR-MARNE,28.251,2014
77,CHAUCONIN-NEUFMONTIERS,16.95,2016
77,BRIE-COMTE-ROBERT,13.8,2017
77,NOYEN-SUR-SEINE,16,2017
77,SAINTS,18.3,2017
77,POMMEUSE,16.9,2018
77,SOURDUN,13.3,2018
77,NANGIS,12.58,2019
77,BOUTIGNY,12.5,2019
77,MORET-SUR-LOING,25,2021
77,MESSY,12.7,2020
77,SALINS,39.6,2022
77,BAILLY-ROMAINVILLIERS,32,2021
77,CERNEUX,17.046,2021
77,DAMMARIE-LES-LYS,28.02,2023
78,SAINT-CYR-L'ECOLE,6.129,1993
78,BAZAINVILLE,4.67346,2007
78,LA BOISSIERE-ECOLE,5.12,2013
78,GAZERAN,1.33,2021
78,LES MUREAUX,4.09,2019
78,SAINT-GERMAIN-EN-LAYE,413.3,1940
78,THIVERVAL-GRIGNON,69.84,2022
78,THIVERVAL-GRIGNON,,2014
78,THIVERVAL-GRIGNON,,2019
78,THOIRY,10.1,2018
78,TRIEL-SUR-SEINE,64.6,2013
78,VILLIERS-SAINT-FREDERIC,3.5,2022
91,CORBEIL-ESSONNES,4.442988,2010
91,ECHARCON,16,2023
91,ETAMPES,42.09,2013
91,EVRY,21.593946,1991
91,ORMOY-LA-RIVIERE,11.5,2020
91,VARENNES-JARCY,17,2002
91,VERT-LE-GRAND,3.4,2020
92,GENNEVILLIERS,26.833,2024
94,VALENTON,82.555,1987
95,BONNEUIL-EN-FRANCE,10.5,1995
95,NEUVILLE-SUR-OISE,9.24,1992
77,THIEUX,12.7,2020
77,MAY-EN-MULTIEN,12.7,2021
77,CHEVRY-COSSIGNY,10.168,2022
77,CHARNY,12.27,2021
77,COULOMBS-EN-VALOIS,12.27,2020
77,QUIERS,16.213,2021
77,CHAILLY-EN-BRIE,13.331,2021
77,LIMOGES-FOURCHES,12.46,2021
77,LES ORMES-SUR-VOULZIE,12.54,2022
77,FAVIERES,10.484,2021
77,CHARMENTRAY,10.521,2022
77,REAU,12.27,2021
77,VOULTON,12.27,2022
77,CHAUCONIN-NEUFMONTIERS,13.245,2021
77,GRANDPUITS-BAILLY-CARROIS,12.7,2021
77,NANGIS,12.7,2021
77,LA FERTE-GAUCHER,21.5,2022
91,BOUTIGNY-SUR-ESSONNE,12.27,2021
77,MAY-EN-MULTIEN,12.4,2021
77,VINANTES,12,2021
77,MARCHEMORET,12.27,2021
77,COUTEVROULT,10.5,2021
77,VOULTON,4.6,2022
77,FAREMOUTIERS,12.27,2021
77,MARCHEMORET,13.245,2021
77,LARCHANT,14.677,2021
78,SONCHAMP,13.061,2021
78,CARRIERES-SOUS-POISSY,6.8,2021
94,VITRY-SUR-SEINE,,2022
77,SAINT-MARTIN-DU-BOSCHET,12.2,2022
77,SAINT-SOUPPLETS,12.3,2022
77,BARCY,11.9,2022
95,LE MESNIL-AUBRY,11.8,2022
91,ANGERVILLE,12.5,2022
77,AMILLIS,12.6,2022
